xq2_bin,ybin,z_bin,pt2_bin,content,error
0,1,1,1,0,0
0,1,1,2,0,0
0,1,1,3,0,0
0,1,1,4,0,0
0,1,1,5,0,0
0,1,1,6,0,0
0,1,1,7,0,0
0,1,1,8,0,0
0,1,1,9,0,0
0,1,1,10,0,0
0,1,1,11,0,0
0,1,2,1,0,0
0,1,2,2,0,0
0,1,2,3,0,0
0,1,2,4,0,0
0,1,2,5,0,0
0,1,2,6,0,0
0,1,2,7,0,0
0,1,2,8,0,0
0,1,2,9,0,0
0,1,2,10,0,0
0,1,2,11,0,0
0,1,3,1,0,0
0,1,3,2,0,0
0,1,3,3,0,0
0,1,3,4,0,0
0,1,3,5,0,0
0,1,3,6,0,0
0,1,3,7,0,0
0,1,3,8,0,0
0,1,3,9,0,0
0,1,3,10,0,0
0,1,3,11,0,0
0,1,4,1,0,0
0,1,4,2,0,0
0,1,4,3,0,0
0,1,4,4,0,0
0,1,4,5,0,0
0,1,4,6,0,0
0,1,4,7,0,0
0,1,4,8,0,0
0,1,4,9,0,0
0,1,4,10,0,0
0,1,4,11,0,0
0,1,5,1,0,0
0,1,5,2,0,0
0,1,5,3,0,0
0,1,5,4,0,0
0,1,5,5,0,0
0,1,5,6,0,0
0,1,5,7,0,0
0,1,5,8,0,0
0,1,5,9,0,0
0,1,5,10,0,0
0,1,5,11,0,0
0,1,6,1,0,0
0,1,6,2,0,0
0,1,6,3,0,0
0,1,6,4,0,0
0,1,6,5,0,0
0,1,6,6,0,0
0,1,6,7,0,0
0,1,6,8,0,0
0,1,6,9,0,0
0,1,6,10,0,0
0,1,6,11,0,0
0,1,7,1,0,0
0,1,7,2,0,0
0,1,7,3,0,0
0,1,7,4,0,0
0,1,7,5,0,0
0,1,7,6,0,0
0,1,7,7,0,0
0,1,7,8,0,0
0,1,7,9,0,0
0,1,7,10,0,0
0,1,7,11,0,0
0,1,8,1,0,0
0,1,8,2,0,0
0,1,8,3,0,0
0,1,8,4,0,0
0,1,8,5,0,0
0,1,8,6,0,0
0,1,8,7,0,0
0,1,8,8,0,0
0,1,8,9,0,0
0,1,8,10,0,0
0,1,8,11,0,0
1,2,1,1,15963.2,359.575
1,2,1,2,18760.8,348.993
1,2,1,3,18084.2,253.424
1,2,1,4,12962.4,194.884
1,2,1,5,10520.1,216.4
1,2,1,6,1515.44,51.3151
1,2,1,7,0,0
1,2,1,8,0,0
1,2,1,9,0,0
1,2,1,10,0,0
1,2,1,11,0,0
1,2,2,1,20573.7,343.244
1,2,2,2,26977.7,304.241
1,2,2,3,31169.6,328.8
